Author,Genre,,,,,,
Walter Isaacson,Biography,,,,,,Genre
Anne Frank,Biography,,,,,,Art
Laura Hillenbrand,Biography,,,,,,Biography
David McCullough,Biography,,,,,,Business
Tina Fey,Biography,,,,,,Children
Rebecca Skloot,Biography,,,,,,Classics
Ron Chernow,Biography,,,,,,Cooking
Ashlee Vance,Biography,,,,,,Crime
Jon Krakauer,Biography,,,,,,Fantasy
Malala Yousafzai,Biography,,,,,,Fiction
Michelle Obama,Biography,,,,,,Historical fiction
Malcolm X,Biography,,,,,,History
Elie Wiesel,Biography,,,,,,Horror
Trevoe Noah,Biography,,,,,,Humor
Tara Westover,Biography,,,,,,Music
Richard P. Feynman,Biography,,,,,,Mystery
Amy Poehler,Biography,,,,,,Nonfiction
Stacy Schiff,Biography,,,,,,Philosophy
Jeannette Walls,Biography,,,,,,Poetry
Doris Kearns Goodwin,Biography,,,,,,Religion
Robert K. Massie,Biography,,,,,,Science
Frank McCourt,Biography,,,,,,Science fiction
Eric Metaxas,Biography,,,,,,Suspense
Maya Angelou,Biography,,,,,,Spirituality
Edmund Morris,Biography,,,,,,Sports
Benjamin Franklin,Biography,,,,,,Travel
Paul Kalanithi,Biography,,,,,,Young adult
Cheryl Strayed,Biography,,,,,,
Corrie ten Boom,Biography,,,,,,
Barack Obama,Biography,,,,,,
Nelson Mandela,Biography,,,,,,
J.D. Vance,Biography,,,,,,
Elizabeth Gilbert,Biography,,,,,,
Mindy Kaling,Biography,,,,,,
Frederick Douglass,Biography,,,,,,
Mitch Albom,Biography,,,,,,
Irin Carmon,Biography,,,,,,
Jon Meacham,Biography,,,,,,
Patti Smith,Biography,,,,,,
Sylvia Nasar,Biography,,,,,,
Steve Martin,Biography,,,,,,
Phil Knight,Biography,,,,,,
Anthony Bourdain,Biography,,,,,,
Jon Berger,Art,,,,,,
E.H. Gombrich,Art,,,,,,
Betty Edwards,Art,,,,,,
Austin Kleon,Art,,,,,,
Banksy,Art,,,,,,
Julia Cameron,Art,,,,,,
Tracy Chevalier,Art,,,,,,
Phaidon Press,Art,,,,,,
David Bayles,Art,,,,,,
Donna Tartt,Art,,,,,,
Sarah Thornton,Art,,,,,,
Wassily Kandinsky,Art,,,,,,
Vincent van Gogh,Art,,,,,,
Scott McCloud,Art,,,,,,
Umberto Eco,Art,,,,,,
Victoria Finlay,Art,,,,,,
Susan Sontag,Art,,,,,,
M.C. Escher,Art,,,,,,
Frida Kahlo,Art,,,,,,
Helen Gardner,Art,,,,,,
B.A. Shapiro,Art,,,,,,
Robert Hughes,Art,,,,,,
Steven Pressfield,Art,,,,,,
H.W. Janson,Art,,,,,,
Giorgio Vasari,Art,,,,,,
Irving Stone,Art,,,,,,
Rainer Metzger,Art,,,,,,
Leonardo da Vinci,Art,,,,,,
Danny Gregory,Art,,,,,,
Ross King,Art,,,,,,
James Gurney,Art,,,,,,
Brian Froud,Art,,,,,,
Andy Warhol,Art,,,,,,
Nick Bantock,Art,,,,,,
Steven Naifeh,Art,,,,,,
Frank Warren,Art,,,,,,
Peter Reynolds,Art,,,,,,
Robert Henri,Art,,,,,,
Andrew Loomis,Art,,,,,,
Will Gompertz,Art,,,,,,
Hayden Herrera,Art,,,,,,
Josef Albers,Art,,,,,,
Roland Barthes,Art,,,,,,
Robert M. Edsel,Art,,,,,,
Eric Ries,Business,,,,,,
Peter Thiel,Business,,,,,,
Malcolm Gladwell,Business,,,,,,
Dale Carnegie,Business,,,,,,
Timothy Ferriss,Business,,,,,,
Stephen R. Covey,Business,,,,,,
Jason Fried,Business,,,,,,
Robert T. Kiyosaki,Business,,,,,,
Simon Sinek,Business,,,,,,
Steven D. Levitt,Business,,,,,,
Ben Horowitz,Business,,,,,,
Michael E. Gerber,Business,,,,,,
Clayton M. Christensen,Business,,,,,,
Charles Duhigg,Business,,,,,,
Chip Heath,Business,,,,,,
Sheryl Sandberg,Business,,,,,,
Napoleon Hill,Business,,,,,,
David Allen,Business,,,,,,
Spencer Johnson,Business,,,,,,
Patrick Lencioni,Business,,,,,,
Ed Catmull,Business,,,,,,
Robert B. Cialdini,Business,,,,,,
Daniel H. Pink,Business,,,,,,
James C. Collins,Business,,,,,,
Tony Hsieh,Business,,,,,,
W. Chan Kim,Business,,,,,,
Eliyahu M. Goldratt,Business,,,,,,
Josh Kaufman,Business,,,,,,
Chris Guillebeau,Business,,,,,,
Benjamin Graham,Business,,,,,,
Daniel Kahneman,Business,,,,,,
Brad Stone,Business,,,,,,
Seth Godin,Business,,,,,,
Michael Lewis,Business,,,,,,
Alexander Osterwalder,Business,,,,,,
John Brooks,Business,,,,,,
John Carreyrou,Business,,,,,,
Kenneth H. Blanchard,Business,,,,,,
Peter F. Drucker,Business,,,,,,
Chris Voss,Business,,,,,,
Geoffrey A. Moore,Business,,,,,,
Kerry Patterson,Business,,,,,,
Nassim Nicholas Taleb,Business,,,,,,
E.B. White,Children,,,,,,
J.K. Rowling,Fantasy,,,,,,
Maurice Sendak,Children,,,,,,
Shel Silverstein,Children,,,,,,
Dr. Seuss,Children,,,,,,
Roald Dahl,Children,,,,,,
C.S. Lewis,Fantasy,,,,,,
Antoine de Saint-Exupery,Children,,,,,,
Frances Hodgson Burnett,Children,,,,,,
Madeleine L'Engle,Children,,,,,,
Eric Carle,Children,,,,,,
Margaret Wise Brown,Children,,,,,,
Lemony Snicket,Children,,,,,,
A.A. Milne,Children,,,,,,
L. Frank Baum,Children,,,,,,
L.M. Montgomery,Children,,,,,,
Margery Williams Bianco,Children,,,,,,
Lewis Carroll,Children,,,,,,
Neil Gaiman,Children,,,,,,
J.M. Barrie,Children,,,,,,
Katherine Paterson,Children,,,,,,
Norton Juster,Children,,,,,,
Louis Sachar,Children,,,,,,
Kenneth Grahame,Children,,,,,,
Beatrix Potter,Children,,,,,,
Laura Ingalls Wilder,Children,,,,,,
Lois Lowry,Children,,,,,,
Irma S. Rombauer,Cooking,,,,,,
Amy Crenn,Cooking,,,,,,
Mark Bittman,Cooking,,,,,,
Julia Child,Cooking,,,,,,
Deb Perelman,Cooking,,,,,,
Mollie Katzen,Cooking,,,,,,
Isa Chandra Moskowitz,Cooking,,,,,,
Yotam Ottolenghi,Cooking,,,,,,
Ree Drummond,Cooking,,,,,,
Samin Nosrat,Cooking,,,,,,
Chrissy Teigen,Cooking,,,,,,
Ina Garten,Cooking,,,,,,
Giada de Laurentiis,Cooking,,,,,,
Nigella Lawson,Cooking,,,,,,
Alice Waters,Cooking,,,,,,
Jeff Hertzberg,Cooking,,,,,,
Marcella Hazan,Cooking,,,,,,
J. Kenji Lopez,Cooking,,,,,,
Alana Chernila,Cooking,,,,,,
Deborah Madison,Cooking,,,,,,
Karen Page,Cooking,,,,,,
Alton Brown,Cooking,,,,,,
Julee Rosso,Cooking,,,,,,
Emma Watson,Cooking,,,,,,
Angela Liddon,Cooking,,,,,,
David Chang,Cooking,,,,,,
Rachael Ray,Cooking,,,,,,
Heidi Swanson,Cooking,,,,,,
Peter Reinhart,Cooking,,,,,,
Harold McGee,Cooking,,,,,,
Sally Fallon,Cooking,,,,,,
David Lebovitz,Cooking,,,,,,
Dorie Greenspan,Cooking,,,,,,
Stieg Larsson,Crime,,,,,,
Gillian Flynn,Crime,,,,,,
Paula Hawkins,Crime,,,,,,
Agatha Christie,Crime,,,,,,
Robert Galbraith,Crime,,,,,,
Truman Capote,Crime,,,,,,
Arthur Conan Doyle,Crime,,,,,,
Tana French,Crime,,,,,,
Mario Puzo,Crime,,,,,,
Thomas Harris,Crime,,,,,,
Dan Brown,Crime,,,,,,
Tanya Thompson,Crime,,,,,,
Raymond Chandler,Crime,,,,,,
Erik Larson,Crime,,,,,,
Jo Nesbo,Crime,,,,,,
Michelle McNamara,Crime,,,,,,
Lee Child,Crime,,,,,,
Patricia Daniels Cornwell,Crime,,,,,,
Jeff Lindsay,Crime,,,,,,
Kathy Reichs,Crime,,,,,,
Tess Gerritsen,Crime,,,,,,
Alice Sebold,Crime,,,,,,
Jane Harper,Crime,,,,,,
R.D. Ronald,Crime,,,,,,
Michael Connelly,Crime,,,,,,
James Ellroy,Crime,,,,,,
James Patterson,Crime,,,,,,
Ben Aaronovitch,Crime,,,,,,
Jeffrey Deaver,Crime,,,,,,
Vincent Bugliosi,Crime,,,,,,
J.R.R. Tolkien,Fantasy,,,,,,
George R.R. Martin,Fantasy,,,,,,
Patrick Rothfuss,Fantasy,,,,,,
Philip Pullman,Fantasy,,,,,,
Christopher Paolini,Fantasy,,,,,,
Brandon Sanderson,Fantasy,,,,,,
Rick Riordan,Fantasy,,,,,,
Cassandra Clare,Fantasy,,,,,,
Stephenie Meyer,Fantasy,,,,,,
Robert Jordan,Fantasy,,,,,,
Terry Pratchett,Fantasy,,,,,,
Sarah J. Maas,Fantasy,,,,,,
Erin Morgenstern,Fantasy,,,,,,
Kristin Cashore,Fantasy,,,,,,
William Goldman,Fantasy,,,,,,
John Tiffany,Fantasy,,,,,,
